,tourney_date,p1_id,p1_name,p2_id,p2_name,p1_hand,p1_ht,p1_age,p2_hand,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,win
18054,20171023,105992,Ryan Harrison,105238,Alexandr Dolgopolov,1,183.0,25.4620123203,1,180.0,28.958247775500002,3,7.0,2.0,49.0,32.0,28.0,9.0,8.0,2.0,2.0,5.0,5.0,49.0,27.0,18.0,9.0,9.0,3.0,7.0,1
18053,20171023,103898,Julien Benneteau,105385,Donald Young,1,185.0,35.8412046543,0,183.0,28.251882272399996,3,7.0,4.0,52.0,31.0,25.0,12.0,9.0,2.0,3.0,4.0,7.0,64.0,31.0,22.0,11.0,9.0,6.0,10.0,1
18052,20171023,105311,Joao Sousa,105223,Juan Martin del Potro,1,185.0,28.5667351129,1,198.0,29.0814510609,3,5.0,7.0,71.0,34.0,27.0,12.0,12.0,5.0,10.0,8.0,1.0,78.0,48.0,40.0,12.0,12.0,3.0,4.0,2
18051,20171023,104919,Leonardo Mayer,104999,Mischa Zverev,1,188.0,30.4421629021,0,190.0,30.1711156742,3,8.0,2.0,75.0,42.0,31.0,19.0,12.0,3.0,4.0,4.0,4.0,82.0,49.0,35.0,12.0,12.0,6.0,9.0,1
18068,20171023,105676,David Goffin,103819,Roger Federer,1,163.0,26.8774811773,1,185.0,36.2080766598,3,6.0,2.0,65.0,38.0,21.0,10.0,7.0,6.0,10.0,4.0,3.0,40.0,23.0,21.0,11.0,8.0,0.0,0.0,2
18069,20171023,103819,Roger Federer,105223,Juan Martin del Potro,1,185.0,36.2080766598,1,198.0,29.0814510609,3,7.0,5.0,101.0,53.0,39.0,27.0,16.0,4.0,7.0,6.0,2.0,108.0,72.0,50.0,12.0,15.0,10.0,15.0,1
18071,20171023,104198,Guillermo Garcia Lopez,104731,Kevin Anderson,1,188.0,34.387405886399996,1,203.0,31.4332648871,3,2.0,5.0,84.0,36.0,26.0,24.0,10.0,4.0,5.0,13.0,2.0,50.0,35.0,27.0,7.0,10.0,2.0,5.0,1
18081,20171023,106298,Lucas Pouille,104198,Guillermo Garcia Lopez,1,185.0,23.663244353200003,1,188.0,34.387405886399996,3,5.0,6.0,75.0,34.0,25.0,19.0,11.0,1.0,4.0,2.0,5.0,67.0,37.0,24.0,13.0,10.0,4.0,8.0,1
18089,20171023,104259,Philipp Kohlschreiber,104542,Jo-Wilfried Tsonga,1,178.0,34.020533880900004,1,188.0,32.5174537988,3,1.0,0.0,74.0,46.0,35.0,12.0,12.0,2.0,4.0,19.0,4.0,71.0,41.0,38.0,13.0,12.0,1.0,2.0,2
18088,20171023,104542,Jo-Wilfried Tsonga,100644,Alexander Zverev,1,188.0,32.5174537988,1,198.0,20.5092402464,3,10.0,1.0,68.0,37.0,28.0,15.0,10.0,1.0,3.0,10.0,7.0,66.0,49.0,36.0,2.0,10.0,9.0,13.0,1
18087,20171023,106043,Diego Schwartzman,104259,Philipp Kohlschreiber,1,170.0,25.1854893908,1,178.0,34.020533880900004,3,2.0,2.0,83.0,47.0,36.0,17.0,12.0,3.0,6.0,4.0,2.0,76.0,46.0,34.0,18.0,12.0,2.0,4.0,2
18086,20171023,104755,Richard Gasquet,106298,Lucas Pouille,1,185.0,31.3483915127,1,185.0,23.663244353200003,3,2.0,5.0,83.0,41.0,32.0,12.0,10.0,3.0,7.0,9.0,1.0,59.0,41.0,31.0,11.0,9.0,5.0,6.0,2
18085,20171023,104468,Gilles Simon,100644,Alexander Zverev,1,183.0,32.821355236100004,1,198.0,20.5092402464,3,2.0,4.0,73.0,29.0,21.0,20.0,11.0,5.0,10.0,9.0,3.0,103.0,56.0,36.0,21.0,11.0,8.0,12.0,2
18084,20171023,104542,Jo-Wilfried Tsonga,106000,Damir Dzumhur,1,188.0,32.5174537988,1,172.0,25.426420260100002,3,11.0,2.0,96.0,51.0,47.0,23.0,16.0,1.0,3.0,2.0,8.0,110.0,69.0,48.0,19.0,15.0,1.0,5.0,1
18083,20171023,106043,Diego Schwartzman,105807,Pablo Carreno Busta,1,170.0,25.1854893908,1,188.0,26.2833675565,3,6.0,2.0,70.0,31.0,17.0,23.0,13.0,2.0,6.0,1.0,1.0,103.0,67.0,35.0,13.0,13.0,8.0,16.0,1
